AAAA;TRIMESTRE;DEPARTAMENTO;PIB_COLOMBIA_ANUAL;PIB_COLOMBIA_TRIMESTRAL;PIB_DEPARTAMENTO_ANUAL;APORTE;PIB_DEPARTAMENTAL_TRIMESTRAL
2009;4;putumayo;612616.0;167000.0;2482.038823732687;0.0040515409713959265;676.6073422231198
2009;1;quindío;612616.0;143000.0;4932.914563532211;0.008052213072352356;1151.466469346387
2009;2;quindío;612616.0;149000.0;4932.914563532211;0.008052213072352356;1199.779747780501
2009;3;quindío;612616.0;154000.0;4932.914563532211;0.008052213072352356;1240.0408131422628
2009;4;quindío;612616.0;167000.0;4932.914563532211;0.008052213072352356;1344.7195830828434
2009;1;risaralda;612616.0;143000.0;10336.034283893716;0.016871962671385854;2412.6906620081772
2009;2;risaralda;612616.0;149000.0;10336.034283893716;0.016871962671385854;2513.922438036492
2009;3;risaralda;612616.0;154000.0;10336.034283893716;0.016871962671385854;2598.2822513934216
2009;4;risaralda;612616.0;167000.0;10336.034283893716;0.016871962671385854;2817.6177661214374
2009;1;san andrés, providencia y santa catalina (archipiélago);612616.0;143000.0;968.7362605734471;0.0015813107404531502;226.1274358848005
2009;2;san andrés, providencia y santa catalina (archipiélago);612616.0;149000.0;968.7362605734471;0.0015813107404531502;235.61530032751938
2009;3;san andrés, providencia y santa catalina (archipiélago);612616.0;154000.0;968.7362605734471;0.0015813107404531502;243.52185402978515
2009;4;san andrés, providencia y santa catalina (archipiélago);612616.0;167000.0;968.7362605734471;0.0015813107404531502;264.0788936556761
2009;1;santander;612616.0;143000.0;40212.06603285416;0.06563992130935882;9386.508747238311
2009;2;santander;612616.0;149000.0;40212.06603285416;0.06563992130935882;9780.348275094464
2009;3;santander;612616.0;154000.0;40212.06603285416;0.06563992130935882;10108.547881641258
2009;4;santander;612616.0;167000.0;40212.06603285416;0.06563992130935882;10961.866858662923
2009;1;sucre;612616.0;143000.0;5199.4491567403265;0.008487289193785873;1213.68235471138
2009;2;sucre;612616.0;149000.0;5199.4491567403265;0.008487289193785873;1264.606089874095
2009;3;sucre;612616.0;154000.0;5199.4491567403265;0.008487289193785873;1307.0425358430246
2009;4;sucre;612616.0;167000.0;5199.4491567403265;0.008487289193785873;1417.3772953622408
2009;1;tolima;612616.0;143000.0;14816.869370980732;0.02418622656114227;3458.6303982433446
2009;2;tolima;612616.0;149000.0;14816.869370980732;0.02418622656114227;3603.7477576101983
2009;3;tolima;612616.0;154000.0;14816.869370980732;0.02418622656114227;3724.6788904159093
2009;4;tolima;612616.0;167000.0;14816.869370980732;0.02418622656114227;4039.099835710759
2009;1;valle del cauca;612616.0;143000.0;62817.00120460088;0.10253894969214138;14663.069805976216
2009;2;valle del cauca;612616.0;149000.0;62817.00120460088;0.10253894969214138;15278.303504129066
2009;3;valle del cauca;612616.0;154000.0;62817.00120460088;0.10253894969214138;15790.998252589772
2009;4;valle del cauca;612616.0;167000.0;62817.00120460088;0.10253894969214138;17124.00459858761
2009;1;vaupés;612616.0;143000.0;184.17095893635187;0.000300630344190083;42.99013921918187
2009;2;vaupés;612616.0;149000.0;184.17095893635187;0.000300630344190083;44.793921284322366
