AAAA;MM;DD;FECHA;FECHA_ORD;REGION;PIB
2021;4;15;2021-04-15;737895;antioquia;33206.002087304834
2021;4;16;2021-04-16;737896;antioquia;33208.55744460295
2021;4;17;2021-04-17;737897;antioquia;33211.1128019013
2021;4;18;2021-04-18;737898;antioquia;33213.66815919941
2021;4;19;2021-04-19;737899;antioquia;33216.22351649776
2021;4;20;2021-04-20;737900;antioquia;33218.778873795876
2021;4;21;2021-04-21;737901;antioquia;33221.33423109399
2021;4;22;2021-04-22;737902;antioquia;33223.88958839234
2021;4;23;2021-04-23;737903;antioquia;33226.444945690455
2021;4;24;2021-04-24;737904;antioquia;33229.00030298857
2021;4;25;2021-04-25;737905;antioquia;33231.55566028692
2021;4;26;2021-04-26;737906;antioquia;33234.11101758503
2021;4;27;2021-04-27;737907;antioquia;33236.66637488315
2021;4;28;2021-04-28;737908;antioquia;33239.2217321815
2021;4;29;2021-04-29;737909;antioquia;33241.77708947961
2021;4;30;2021-04-30;737910;antioquia;33244.33244677796
2021;5;1;2021-05-01;737911;antioquia;33246.887804076076
2021;5;2;2021-05-02;737912;antioquia;33249.44316137419
2021;5;3;2021-05-03;737913;antioquia;33251.99851867254
2021;5;4;2021-05-04;737914;antioquia;33254.553875970654
2021;5;5;2021-05-05;737915;antioquia;33257.10923326877
2021;5;6;2021-05-06;737916;antioquia;33259.66459056712
2021;5;7;2021-05-07;737917;antioquia;33262.21994786523
2021;5;8;2021-05-08;737918;antioquia;33264.77530516358
2021;5;9;2021-05-09;737919;antioquia;33267.330662461696
2021;5;10;2021-05-10;737920;antioquia;33269.88601975981
2021;5;11;2021-05-11;737921;antioquia;33272.44137705816
2021;5;12;2021-05-12;737922;antioquia;33274.996734356275
2021;5;13;2021-05-13;737923;antioquia;33277.55209165439
2021;5;14;2021-05-14;737924;antioquia;33280.10744895274
2021;5;15;2021-05-15;737925;antioquia;33282.66280625085
2021;5;16;2021-05-16;737926;antioquia;33285.2181635492
2021;5;17;2021-05-17;737927;antioquia;33287.77352084732
2021;5;18;2021-05-18;737928;antioquia;33290.32887814543
2021;5;19;2021-05-19;737929;antioquia;33292.88423544378
2021;5;20;2021-05-20;737930;antioquia;33295.439592741895
2021;5;21;2021-05-21;737931;antioquia;33297.99495004001
2021;5;22;2021-05-22;737932;antioquia;33300.55030733836
2021;5;23;2021-05-23;737933;antioquia;33303.105664636474
2021;5;24;2021-05-24;737934;antioquia;33305.66102193459
2021;5;25;2021-05-25;737935;antioquia;33308.21637923294
2021;5;26;2021-05-26;737936;antioquia;33310.77173653105
2021;5;27;2021-05-27;737937;antioquia;33313.3270938294
2021;5;28;2021-05-28;737938;antioquia;33315.882451127516
2021;5;29;2021-05-29;737939;antioquia;33318.43780842563
2021;5;30;2021-05-30;737940;antioquia;33320.99316572398
2021;5;31;2021-05-31;737941;antioquia;33323.548523022095
2021;6;1;2021-06-01;737942;antioquia;33326.10388032021
2021;6;2;2021-06-02;737943;antioquia;33328.65923761856
2021;6;3;2021-06-03;737944;antioquia;33331.21459491667
2021;6;4;2021-06-04;737945;antioquia;33333.76995221502
2021;6;5;2021-06-05;737946;antioquia;33336.32530951314
2021;6;6;2021-06-06;737947;antioquia;33338.88066681125
2021;6;7;2021-06-07;737948;antioquia;33341.4360241096
2021;6;8;2021-06-08;737949;antioquia;33343.991381407715
2021;6;9;2021-06-09;737950;antioquia;33346.54673870583
2021;6;10;2021-06-10;737951;antioquia;33349.10209600418
2021;6;11;2021-06-11;737952;antioquia;33351.657453302294
2021;6;12;2021-06-12;737953;antioquia;33354.21281060041
2021;6;13;2021-06-13;737954;antioquia;33356.76816789876
2021;6;14;2021-06-14;737955;antioquia;33359.32352519687
2021;6;15;2021-06-15;737956;antioquia;33361.87888249522
2021;6;16;2021-06-16;737957;antioquia;33364.434239793336
2021;6;17;2021-06-17;737958;antioquia;33366.98959709145
2021;6;18;2021-06-18;737959;antioquia;33369.5449543898
2021;6;19;2021-06-19;737960;antioquia;33372.100311687915
2021;6;20;2021-06-20;737961;antioquia;33374.65566898603
2021;6;21;2021-06-21;737962;antioquia;33377.21102628438
2021;6;22;2021-06-22;737963;antioquia;33379.76638358249
2021;6;23;2021-06-23;737964;antioquia;33382.32174088084
2021;6;24;2021-06-24;737965;antioquia;33384.87709817896
2021;6;25;2021-06-25;737966;antioquia;33387.43245547707
2021;6;26;2021-06-26;737967;antioquia;33389.98781277542
2021;6;27;2021-06-27;737968;antioquia;33392.543170073535
2021;6;28;2021-06-28;737969;antioquia;33395.09852737165
2021;6;29;2021-06-29;737970;antioquia;33397.65388467
2021;6;30;2021-06-30;737971;antioquia;33400.209241968114
2021;7;1;2021-07-01;737972;antioquia;33402.76459926623
2021;7;2;2021-07-02;737973;antioquia;33405.31995656458
2021;7;3;2021-07-03;737974;antioquia;33407.87531386269
2021;7;4;2021-07-04;737975;antioquia;33410.43067116104
2021;7;5;2021-07-05;737976;antioquia;33412.986028459156
2021;7;6;2021-07-06;737977;antioquia;33415.54138575727
2021;7;7;2021-07-07;737978;antioquia;33418.09674305562
2021;7;8;2021-07-08;737979;antioquia;33420.652100353735
2021;7;9;2021-07-09;737980;antioquia;33423.20745765185
2021;7;10;2021-07-10;737981;antioquia;33425.7628149502
2021;7;11;2021-07-11;737982;antioquia;33428.31817224831
2021;7;12;2021-07-12;737983;antioquia;33430.87352954666
2021;7;13;2021-07-13;737984;antioquia;33433.42888684478
2021;7;14;2021-07-14;737985;antioquia;33435.98424414289
2021;7;15;2021-07-15;737986;antioquia;33438.53960144124
2021;7;16;2021-07-16;737987;antioquia;33441.094958739355
2021;7;17;2021-07-17;737988;antioquia;33443.65031603747
2021;7;18;2021-07-18;737989;antioquia;33446.20567333582
2021;7;19;2021-07-19;737990;antioquia;33448.761030633934
2021;7;20;2021-07-20;737991;antioquia;33451.31638793228
2021;7;21;2021-07-21;737992;antioquia;33453.8717452304
2021;7;22;2021-07-22;737993;antioquia;33456.42710252851
2021;7;23;2021-07-23;737994;antioquia;33458.98245982686
2021;7;24;2021-07-24;737995;antioquia;33461.537817124976
2021;7;25;2021-07-25;737996;antioquia;33464.09317442309
2021;7;26;2021-07-26;737997;antioquia;33466.64853172144
2021;7;27;2021-07-27;737998;antioquia;33469.203889019554
2021;7;28;2021-07-28;737999;antioquia;33471.75924631767
2021;7;29;2021-07-29;738000;antioquia;33474.31460361602
2021;7;30;2021-07-30;738001;antioquia;33476.86996091413
2021;7;31;2021-07-31;738002;antioquia;33479.42531821248
2021;8;1;2021-08-01;738003;antioquia;33481.9806755106
2021;8;2;2021-08-02;738004;antioquia;33484.53603280871
2021;8;3;2021-08-03;738005;antioquia;33487.09139010706
2021;8;4;2021-08-04;738006;antioquia;33489.646747405175
2021;8;5;2021-08-05;738007;antioquia;33492.20210470329
2021;8;6;2021-08-06;738008;antioquia;33494.75746200164
2021;8;7;2021-08-07;738009;antioquia;33497.312819299754
2021;8;8;2021-08-08;738010;antioquia;33499.8681765981
2021;8;9;2021-08-09;738011;antioquia;33502.42353389622
2021;8;10;2021-08-10;738012;antioquia;33504.97889119433
2021;8;11;2021-08-11;738013;antioquia;33507.53424849268
2021;8;12;2021-08-12;738014;antioquia;33510.089605790796
2021;8;13;2021-08-13;738015;antioquia;33512.64496308891
2021;8;14;2021-08-14;738016;antioquia;33515.20032038726
2021;8;15;2021-08-15;738017;antioquia;33517.755677685374
2021;8;16;2021-08-16;738018;antioquia;33520.31103498349
2021;8;17;2021-08-17;738019;antioquia;33522.86639228184
2021;8;18;2021-08-18;738020;antioquia;33525.42174957995
2021;8;19;2021-08-19;738021;antioquia;33527.9771068783
2021;8;20;2021-08-20;738022;antioquia;33530.53246417642
2021;8;21;2021-08-21;738023;antioquia;33533.08782147453
2021;8;22;2021-08-22;738024;antioquia;33535.64317877288
2021;8;23;2021-08-23;738025;antioquia;33538.198536070995
2021;8;24;2021-08-24;738026;antioquia;33540.75389336911
2021;8;25;2021-08-25;738027;antioquia;33543.30925066746
2021;8;26;2021-08-26;738028;antioquia;33545.864607965574
2021;8;27;2021-08-27;738029;antioquia;33548.41996526392
2021;8;28;2021-08-28;738030;antioquia;33550.97532256204
2021;8;29;2021-08-29;738031;antioquia;33553.53067986015
2021;8;30;2021-08-30;738032;antioquia;33556.0860371585
2021;8;31;2021-08-31;738033;antioquia;33558.641394456616
2021;9;1;2021-09-01;738034;antioquia;33561.19675175473
2021;9;2;2021-09-02;738035;antioquia;33563.75210905308
2021;9;3;2021-09-03;738036;antioquia;33566.307466351194
2021;9;4;2021-09-04;738037;antioquia;33568.86282364931
2021;9;5;2021-09-05;738038;antioquia;33571.41818094766
2021;9;6;2021-09-06;738039;antioquia;33573.97353824577
2021;9;7;2021-09-07;738040;antioquia;33576.52889554412
2021;9;8;2021-09-08;738041;antioquia;33579.084252842236
2021;9;9;2021-09-09;738042;antioquia;33581.63961014035
2021;9;10;2021-09-10;738043;antioquia;33584.1949674387
2021;9;11;2021-09-11;738044;antioquia;33586.750324736815
2021;9;12;2021-09-12;738045;antioquia;33589.30568203493
2021;9;13;2021-09-13;738046;antioquia;33591.86103933328
2021;9;14;2021-09-14;738047;antioquia;33594.41639663139
2021;9;15;2021-09-15;738048;antioquia;33596.97175392974
2021;9;16;2021-09-16;738049;antioquia;33599.52711122786
2021;9;17;2021-09-17;738050;antioquia;33602.08246852597
2021;9;18;2021-09-18;738051;antioquia;33604.63782582432
2021;9;19;2021-09-19;738052;antioquia;33607.193183122436
2021;9;20;2021-09-20;738053;antioquia;33609.74854042055
2021;9;21;2021-09-21;738054;antioquia;33612.3038977189
2021;9;22;2021-09-22;738055;antioquia;33614.859255017014
2021;9;23;2021-09-23;738056;antioquia;33617.41461231536
2021;9;24;2021-09-24;738057;antioquia;33619.96996961348
2021;9;25;2021-09-25;738058;antioquia;33622.52532691159
2021;9;26;2021-09-26;738059;antioquia;33625.08068420994
2021;9;27;2021-09-27;738060;antioquia;33627.636041508056
2021;9;28;2021-09-28;738061;antioquia;33630.19139880617
2021;9;29;2021-09-29;738062;antioquia;33632.74675610452
2021;9;30;2021-09-30;738063;antioquia;33635.302113402635
2021;10;1;2021-10-01;738064;antioquia;33637.85747070075
2021;10;2;2021-10-02;738065;antioquia;33640.4128279991
2021;10;3;2021-10-03;738066;antioquia;33642.96818529721
2021;10;4;2021-10-04;738067;antioquia;33645.52354259556
2021;10;5;2021-10-05;738068;antioquia;33648.07889989368
2021;10;6;2021-10-06;738069;antioquia;33650.63425719179
2021;10;7;2021-10-07;738070;antioquia;33653.18961449014
2021;10;8;2021-10-08;738071;antioquia;33655.744971788255
2021;10;9;2021-10-09;738072;antioquia;33658.30032908637
